Documento;DatadoTracking;DescricaoDoTracking;Insucesso
2764133291;25/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756843901;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760660761;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757058112;02/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2762615411;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757013051;31/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761966751;29/04/2025;INSUCESSO DE ENTREGA;Cliente
2761672431;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757480661;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761294091;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757181452;31/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757185931;31/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759046451;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763804352;25/04/2025;ENTREGA COM DATA ESPECIAL - NAO CARREGOU;Cliente
2765670591;29/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758877881;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764072361;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765092081;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761272851;13/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2756670731;29/03/2025;MERCADORIA PENDENTE;Pendencia
2756918221;31/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760770061;11/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759682331;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762699591;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764397021;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762809481;28/04/2025;RUA INTRANSITAVEL;Transporte
2763751551;24/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2753551701;01/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2764499831;06/05/2025;CAMINHAO ROUBADO;Transporte
2765037451;29/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2763664801;23/04/2025;PERDA LOGISTICA;Pendencia
2756653371;03/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2764320691;28/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2761356161;22/04/2025;CLIENTE AUSENTE;Cliente
2757892361;04/04/2025;PERDA LOGISTICA;Pendencia
2764123061;25/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2763447661;26/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2765253681;30/04/2025;ATRASO NA ENTREGA DE 2 DIAS;Transporte
2763175441;29/04/2025;PERDA LOGISTICA;Pendencia
2762823991;03/05/2025;PERDA LOGISTICA;Pendencia
2753007082;18/03/2025;PERDA LOGISTICA;Pendencia
2761908321;23/04/2025;CLIENTE AUSENTE;Cliente
2764059531;26/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2753120721;20/03/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2756866031;09/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2764559681;28/04/2025;RUA NAO LOCALIZADA;Cliente
2761195931;23/04/2025;FERIADO MUNICIPAL OU NACIONAL;Transporte
2763022511;01/05/2025;CLIENTE AUSENTE;Cliente
2759501521;22/04/2025;CLIENTE AUSENTE;Cliente
2759255591;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2756645401;01/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758822791;03/05/2025;PERDA LOGISTICA;Pendencia
2762843991;25/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2764276111;30/04/2025;CLIENTE AUSENTE;Cliente
2757922001;05/04/2025;AGUARDAR ORDEM - NAO CARREGOU;CD
2756799791;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758074931;07/04/2025;CLIENTE AUSENTE;Cliente
2763693351;29/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2761040751;21/04/2025;REABERTURA POR BAIXA INDEVIDA;Transporte
2758995271;10/04/2025;RUA NAO LOCALIZADA;Cliente
2756425901;08/04/2025;RUA INTRANSITAVEL;Transporte
2743900091;02/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2757234521;14/04/2025;CLIENTE AUSENTE;Cliente
2763281081;30/04/2025;CLIENTE AUSENTE 2;Cliente
2763168371;16/05/2025;PERDA LOGISTICA;Pendencia
2759252091;08/04/2025;CLIENTE AUSENTE 2;Cliente
2759700681;09/04/2025;RUA NAO LOCALIZADA;Cliente
2763302301;25/04/2025;CLIENTE AUSENTE;Cliente
2764004441;28/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2759176121;17/04/2025;CLIENTE AUSENTE;Cliente
2757875981;05/04/2025;CLIENTE AUSENTE;Cliente
2758833581;07/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2757003711;31/03/2025;PERDA LOGISTICA;Pendencia
2763198441;25/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2756168941;27/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757117671;01/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2756865921;02/04/2025;CLIENTE AUSENTE;Cliente
2758006381;05/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2760037941;15/04/2025;NUMERO NAO LOCALIZADO;Cliente
2765610741;05/05/2025;CLIENTE AUSENTE;Cliente
2760822101;14/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758964181;11/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2762414111;25/04/2025;CLIENTE AUSENTE 3;Cliente
2758235081;07/04/2025;NUMERO NAO LOCALIZADO;Cliente
2756853091;01/04/2025;RUA NAO LOCALIZADA;Cliente
2757488551;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758006041;05/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2762269901;19/04/2025;RUA NAO LOCALIZADA;Cliente
2758743331;09/04/2025;INSUCESSO DE ENTREGA;Cliente
2760430711;11/04/2025;NOTA FISCAL CANCELADA, INUTILIZADA OU DENEGADA;CD
2759084871;19/05/2025;EXTRAVIO POR FALTA DE INFORMACAO;Transporte
2759122211;08/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2764203132;25/04/2025;RUA NAO LOCALIZADA;Cliente
2761965251;16/04/2025;PERDA LOGISTICA;Pendencia
2761965251;16/04/2025;PERDA LOGISTICA;Pendencia
2761404781;02/05/2025;BARRAR ENTREGA;Cliente
2759630271;09/04/2025;RUA NAO LOCALIZADA;Cliente
2763289051;24/04/2025;PERDA LOGISTICA;Pendencia
2754079891;07/04/2025;EXTRAVIO POR FALTA DE INFORMACAO;Transporte
2759277471;08/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2758609101;25/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2746347561;29/04/2025;BARRAR ENTREGA;Cliente
2755727961;23/04/2025;PERDA LOGISTICA;Pendencia
2757058112;02/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2757892361;03/04/2025;EXPEDICAO CANCELADA;CD
2763175441;27/04/2025;EXPEDICAO CANCELADA;CD
2762823991;03/05/2025;INSUCESSO DE ENTREGA;Cliente
2753120721;20/03/2025;CLIENTE AUSENTE;Cliente
2763022511;25/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2758822791;02/05/2025;EXPEDICAO CANCELADA;CD
2763168371;14/05/2025;INSUCESSO DE ENTREGA;Cliente
2765610741;02/05/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2758964181;11/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2762414111;22/04/2025;DESTINATARIO AUSENTE NA SEGUNDA TENTATIVA;Cliente
2758006041;05/04/2025;CLIENTE AUSENTE;Cliente
2759084871;29/04/2025;ATRASO NA ENTREGA DE 8 DIAS;Transporte
2759122211;08/04/2025;RUA NAO LOCALIZADA;Cliente
2761404781;02/05/2025;BARRAR ENTREGA;Cliente
2763289051;24/04/2025;FORA DE ITINERARIO - NAO CARREGOU;Roteirização
2754079891;07/04/2025;EXTRAVIO POR FALTA DE INFORMACAO;Transporte
2759277471;08/04/2025;RUA NAO LOCALIZADA;Cliente
2755727961;28/03/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2763175441;24/04/2025;MERCADORIA DANIFICADA - NAO CARREGOU;CD
2762823991;03/05/2025;TRANSPORTADOR NAO ATENDE PRACA;Transporte
2763022511;25/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758822791;14/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2763168371;14/05/2025;TRANSPORTADOR NAO ATENDE PRACA;Transporte
2765610741;02/05/2025;CLIENTE AUSENTE;Cliente
2762414111;22/04/2025;CLIENTE AUSENTE 2;Cliente
2759084871;29/04/2025;ATRASO NA ENTREGA DE 8 DIAS;Transporte
2761404781;25/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2755727961;28/03/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2762823991;03/05/2025;PRACA NAO ATENDIDA;Transporte
2758822791;14/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2763168371;14/05/2025;PRACA NAO ATENDIDA;Transporte
2761404781;25/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758822791;14/04/2025;DESTINATARIO AUSENTE NA SEGUNDA TENTATIVA;Cliente
2761404781;17/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2758822791;14/04/2025;CLIENTE AUSENTE 2;Cliente
2761404781;17/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758822791;14/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2761404781;16/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2758822791;14/04/2025;CLIENTE AUSENTE;Cliente
2761404781;16/04/2025;CLIENTE AUSENTE;Cliente
2758653171;11/04/2025;FORA DE ITINERARIO;Transporte
2761508361;22/04/2025;103 TROCA DE CD (PROCESSO ONLINE);Transporte
2758493321;07/04/2025;MERCADORIA PENDENTE;Pendencia
2757572781;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762703101;24/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2763351451;23/04/2025;ENTREGA COM DATA ESPECIAL - NAO CARREGOU;Cliente
2755151621;03/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2759348271;07/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758194841;08/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2748451601;11/03/2025;PERDA LOGISTICA;Pendencia
2758043401;10/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2763160551;25/04/2025;REABERTURA POR BAIXA INDEVIDA;Transporte
2759675451;11/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2762325671;23/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2757510221;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757516691;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2752766331;11/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2759704231;11/04/2025;DIFICULDADES NA REGIAO DE ENTREGA;Transporte
2762833771;23/04/2025;ENTREGA COM DATA ESPECIAL;Cliente
2763815291;30/04/2025;PERDA LOGISTICA;Pendencia
2759697981;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2757421581;03/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2761787662;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762574791;23/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2758888821;15/04/2025;CLIENTE CANCELOU A COMPRA - NAO CARREGOU;Cliente
2761620061;23/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2764272381;26/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2764661441;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2745802221;22/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2757516871;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765344161;30/04/2025;ATRASO NA ENTREGA DE 2 DIAS;Transporte
2763552601;23/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2758668781;07/04/2025;EXPEDIÇÃO CANCELADA NA ORIGEM DO EAD;CD
2764605271;29/04/2025;EXPEDICAO CANCELADA;CD
2757565491;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759626901;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2757521881;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758612431;17/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2758225391;03/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761692221;23/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2757573122;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760679671;11/04/2025;PERDA LOGISTICA;Pendencia
2764955681;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759433461;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760014981;06/05/2025;INSUCESSO DE ENTREGA;Cliente
2764300731;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762662171;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757933002;03/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764314851;24/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763821912;25/04/2025;ENTREGA COM DATA ESPECIAL - NAO CARREGOU;Cliente
2758826891;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756547531;04/06/2025;MERCADORIA INSUCESSO DEVOLVIDA;Cliente
2752324031;15/03/2025;MERCADORIA PENDENTE;Pendencia
2759497601;09/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762351071;08/05/2025;INSUCESSO DE ENTREGA;Cliente
2752249311;17/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758755412;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761562811;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763993391;24/04/2025;ALTER. P/ AGUARDAR ORDEM OU COMPENSACAO DE CHEQUE;Loja
2758478311;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758681301;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761729161;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763396611;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759348011;21/05/2025;INSUCESSO DE ENTREGA;Cliente
2760608131;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761133521;14/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758920481;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2756895321;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760917701;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758103541;04/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760371951;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762966791;22/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2756890082;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758790201;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763419671;01/05/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2763138551;06/05/2025;INSUCESSO DE ENTREGA;Cliente
2757105711;31/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757242231;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758669671;05/04/2025;ALTER. P/ AGUARDAR ORDEM OU COMPENSACAO DE CHEQUE;Loja
2763124751;21/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2761428191;14/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763404881;22/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2756762231;01/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2761664752;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761226831;15/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763241311;20/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2765633891;29/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758918731;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756864431;31/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764603621;29/04/2025;FORA DE ITINERARIO - NAO CARREGOU;Roteirização
2758149502;04/04/2025;ALTER. P/ AGUARDAR ORDEM OU COMPENSACAO DE CHEQUE;Loja
2761768902;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756812521;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760556411;11/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758390501;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761429841;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757484721;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763377891;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2755222591;24/03/2025;MERCADORIA PENDENTE;Pendencia
2760115871;09/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762723421;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757964401;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758222201;04/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762034081;15/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757830261;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763593761;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759020901;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760911201;11/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758492161;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761736692;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759965781;29/04/2025;INSUCESSO DE ENTREGA;Cliente
2757854951;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760595411;28/04/2025;INSUCESSO DE ENTREGA;Cliente
2757734941;02/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2744879031;15/04/2025;AGUARDANDO RETIRA;Cliente
2759003242;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758941771;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763396341;23/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2758438381;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760442121;10/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758865311;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761101302;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764005382;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763099991;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763458111;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763114511;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759122771;06/04/2025;MERCADORIA PENDENTE;Pendencia
2761738961;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762326512;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764202741;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764235181;24/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761419051;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763187401;20/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757516491;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763225712;20/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761131352;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759707351;10/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758892671;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758769621;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2755792141;26/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764352322;24/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761375821;16/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2760512191;10/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760590991;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761777031;16/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2761337852;13/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757431211;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760800391;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758950301;09/04/2025;DESTINATARIO AUSENTE NA SEGUNDA TENTATIVA;Cliente
2764036641;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759592181;09/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757237081;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762639021;17/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757223051;02/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2746794051;24/02/2025;MERCADORIA PENDENTE;Pendencia
2764754211;27/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757163421;31/03/2025;MERCADORIA PENDENTE;Pendencia
2764860802;27/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2756784201;31/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761631911;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760766291;11/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759335341;08/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765084621;28/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758653171;11/04/2025;REABERTURA POR BAIXA INDEVIDA;Transporte
2761508361;22/04/2025;PERDA LOGISTICA;Pendencia
2758493321;07/04/2025;PERDA LOGISTICA;Pendencia
2762703101;24/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2755151621;03/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758194841;08/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2748451601;11/03/2025;PERDA LOGISTICA;Pendencia
2758043401;10/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2763160551;25/04/2025;REABERTURA POR BAIXA INDEVIDA;Transporte
2759675451;11/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2762325671;23/04/2025;CLIENTE AUSENTE;Cliente
2752766331;11/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2759704231;11/04/2025;RUA INTRANSITAVEL;Transporte
2762833771;22/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2763815291;30/04/2025;PERDA LOGISTICA;Pendencia
2759697981;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2757421581;03/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2762574791;23/04/2025;RUA NAO LOCALIZADA;Cliente
2758888821;11/04/2025;AGUARDAR ORDEM;Loja
2761620061;23/04/2025;RUA NAO LOCALIZADA;Cliente
2764272381;26/04/2025;CLIENTE AUSENTE;Cliente
2745802221;22/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2765344161;30/04/2025;ATRASO NA ENTREGA DE 2 DIAS;Transporte
2763552601;23/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2759626901;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758612431;17/04/2025;RUA NAO LOCALIZADA;Cliente
2761692221;23/04/2025;CLIENTE AUSENTE;Cliente
2760679671;11/04/2025;PERDA LOGISTICA;Pendencia
2756547531;04/06/2025;MERCADORIA INSUCESSO DEVOLVIDA;Cliente
2762351071;22/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2759348011;15/04/2025;BARRAR ENTREGA;Cliente
2762966791;22/04/2025;RUA NAO LOCALIZADA;Cliente
2763419671;01/05/2025;CLIENTE AUSENTE;Cliente
2763138551;29/04/2025;INSUCESSO DE ENTREGA;Cliente
2763124751;21/04/2025;RUA NAO LOCALIZADA;Cliente
2756762231;01/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2759965781;22/04/2025;INSUCESSO DE ENTREGA;Cliente
